movie_url,movie_poster_url,movie_name[zh],movie_name[en],movie_rate,movie_rate_count,movie_description,movie_info,movie_director,movie_date,movie_language,movie_type
https://movie.douban.com/subject/1302425/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2579932167.jpg,喜剧之王,  喜劇之王,8.8,719088,我是一个演员,"导演: 周星驰 Stephen Chow / 李力持 Lik-Chi Lee   主演: 周星驰 Stephen Ch...<br/>
                            1999 / 中国香港 / 喜剧 剧情 爱情",周星驰 Stephen Chow / 李力持 Lik-Chi Lee   ,1999, 中国香港 , 喜剧 剧情 爱情
https://movie.douban.com/subject/1294639/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2004174709.jpg,勇敢的心,  Braveheart,8.9,464580,史诗大片的典范,"导演: 梅尔·吉布森 Mel Gibson   主演: 梅尔·吉布森 Mel Gibson / 苏菲·玛...<br/>
                            1995 / 美国 / 动作 传记 剧情 历史 战争",梅尔·吉布森 Mel Gibson   ,1995, 美国 , 动作 传记 剧情 历史 战争
https://movie.douban.com/subject/1297192/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2558364386.jpg,致命ID,  Identity,8.8,604339,最不可能的那个人永远是最可能的,"导演: 詹姆斯·曼高德 James Mangold   主演: 约翰·库萨克 John Cusack / 雷...<br/>
                            2003 / 美国 / 剧情 悬疑 惊悚",詹姆斯·曼高德 James Mangold   ,2003, 美国 , 剧情 悬疑 惊悚
https://movie.douban.com/subject/1298070/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1596085504.jpg,加勒比海盗,  Pirates of the Caribbean: The Curse of the Black Pearl,8.8,669389,约翰尼·德普的独角戏,"导演: 戈尔·维宾斯基 Gore Verbinski   主演: 约翰尼·德普 Johnny Depp / ...<br/>
                            2003 / 美国 / 动作 冒险 奇幻",戈尔·维宾斯基 Gore Verbinski   ,2003, 美国 , 动作 冒险 奇幻
https://movie.douban.com/subject/1300299/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p657823840.jpg,杀人回忆,  살인의 추억,8.8,507130,关于连环杀人悬案的集体回忆,"导演: 奉俊昊 Joon-ho Bong   主演: 宋康昊 Kang-ho Song / 金相庆 Sang-kyun...<br/>
                            2003 / 韩国 / 剧情 动作 犯罪 悬疑 惊悚",奉俊昊 Joon-ho Bong   ,2003, 韩国 , 剧情 动作 犯罪 悬疑 惊悚
https://movie.douban.com/subject/1292215/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2447590313.jpg,天使爱美丽,  Le fabuleux destin d'Amélie Poulain,8.7,803437,法式小清新 ,"导演: 让-皮埃尔·热内 Jean-Pierre Jeunet   主演: 奥黛丽·塔图 Audrey Tau...<br/>
                            2001 / 法国 德国 / 喜剧 爱情",让-皮埃尔·热内 Jean-Pierre Jeunet   ,2001, 法国 德国 , 喜剧 爱情
https://movie.douban.com/subject/6985810/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1546987967.jpg,狩猎,  Jagten,9.1,276527,人言可畏,"导演: 托马斯·温特伯格 Thomas Vinterberg   主演: 麦斯·米科尔森 Mads Mik...<br/>
                            2012 / 丹麦 瑞典 / 剧情",托马斯·温特伯格 Thomas Vinterberg   ,2012, 丹麦 瑞典 , 剧情
https://movie.douban.com/subject/1418834/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2604889017.jpg,断背山,  Brokeback Mountain,8.8,562666,每个人心中都有一座断背山,"导演: 李安 Ang Lee   主演: 希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...<br/>
                            2005 / 美国 加拿大 / 剧情 爱情 同性 家庭",李安 Ang Lee   ,2005, 美国 加拿大 , 剧情 爱情 同性 家庭
https://movie.douban.com/subject/26799731/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2505525050.jpg,请以你的名字呼唤我,  Call Me by Your Name,8.9,495548,沉醉在电影的情感和视听氛围中无法自拔,"导演: 卢卡·瓜达尼诺 Luca Guadagnino   主演: 艾米·汉莫 Armie Hammer / ...<br/>
                            2017 / 意大利 法国 巴西 美国 荷兰 德国 / 剧情 爱情 同性",卢卡·瓜达尼诺 Luca Guadagnino   ,2017, 意大利 法国 巴西 美国 荷兰 德国 , 剧情 爱情 同性
https://movie.douban.com/subject/10777687/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1816276065.jpg,7号房的礼物,  7번방의 선물,8.9,404386,《我是山姆》的《美丽人生》,"导演: 李焕庆 Hwan-kyeong Lee   主演: 柳承龙 Seung-yong Ryoo / 朴信惠 Shi...<br/>
                            2013 / 韩国 / 剧情 喜剧 家庭",李焕庆 Hwan-kyeong Lee   ,2013, 韩国 , 剧情 喜剧 家庭
https://movie.douban.com/subject/1297359/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1613191025.jpg,幽灵公主,  もののけ姫,8.9,414493,人与自然的战争史诗,"导演: 宫崎骏 Hayao Miyazaki   主演: 松田洋治 Yôji Matsuda / 石田百合...<br/>
                            1997 / 日本 / 动画 奇幻 冒险",宫崎骏 Hayao Miyazaki   ,1997, 日本 , 动画 奇幻 冒险
https://movie.douban.com/subject/1865703/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456825720.jpg,红辣椒,  パプリカ,9,310558,梦的勾结,"导演: 今敏 Satoshi Kon   主演: 林原惠美 Megumi Hayashibara / 江守彻 Toru...<br/>
                            2006 / 日本 / 动画 悬疑 科幻 惊悚",今敏 Satoshi Kon   ,2006, 日本 , 动画 悬疑 科幻 惊悚
https://movie.douban.com/subject/25814705/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2564498893.jpg,小森林 夏秋篇,  リトル・フォレスト 夏・秋,9,321060,那些静得只能听见呼吸的日子里，你明白孤独即生活,"导演: 森淳一 Junichi Mori   主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...<br/>
                            2014 / 日本 / 剧情",森淳一 Junichi Mori   ,2014, 日本 , 剧情
https://movie.douban.com/subject/1291875/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2564685215.jpg,阳光灿烂的日子, ,8.8,477841,一场华丽的意淫,"导演: 姜文 Wen Jiang   主演: 夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao<br/>
                            1994 / 中国大陆 中国香港 / 剧情 爱情",姜文 Wen Jiang   ,1994, 中国大陆 中国香港 , 剧情 爱情
https://movie.douban.com/subject/1297630/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2220184425.jpg,第六感,  The Sixth Sense,8.9,416996,深入内心的恐怖，出人意料的结局,"导演: M·奈特·沙马兰 M. Night Shyamalan   主演: 布鲁斯·威利斯 Bruce Wi...<br/>
                            1999 / 美国 / 剧情 悬疑 惊悚",M·奈特·沙马兰 M. Night Shyamalan   ,1999, 美国 , 剧情 悬疑 惊悚
https://movie.douban.com/subject/1291999/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792381411.jpg,重庆森林,  重慶森林,8.7,603935,寂寞没有期限,"导演: 王家卫 Kar Wai Wong   主演: 林青霞 Brigitte Lin / 金城武 Takeshi K...<br/>
                            1994 / 中国香港 / 剧情 爱情",王家卫 Kar Wai Wong   ,1994, 中国香港 , 剧情 爱情
https://movie.douban.com/subject/2149806/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1583839859.jpg,入殓师,  おくりびと,8.8,463453,死可能是一道门，逝去并不是终结，而是超越，走向下一程,"导演: 泷田洋二郎 Yôjirô Takita   主演: 本木雅弘 Masahiro Motoki / ...<br/>
                            2008 / 日本 / 剧情",泷田洋二郎 Yôjirô Takita   ,2008, 日本 , 剧情
https://movie.douban.com/subject/25814707/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2215147728.jpg,小森林 冬春篇,  リトル・フォレスト 冬・春,9,285002,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态,"导演: 森淳一 Junichi Mori   主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...<br/>
                            2015 / 日本 / 剧情",森淳一 Junichi Mori   ,2015, 日本 , 剧情
https://movie.douban.com/subject/21318488/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2221768894.jpg,消失的爱人,  Gone Girl,8.7,683767,年度最佳date movie,"导演: 大卫·芬奇 David Fincher   主演: 本·阿弗莱克 Ben Affleck / 罗莎蒙...<br/>
                            2014 / 美国 / 剧情 犯罪 悬疑 惊悚",大卫·芬奇 David Fincher   ,2014, 美国 , 剧情 犯罪 悬疑 惊悚
https://movie.douban.com/subject/1296339/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2555762374.jpg,爱在黎明破晓前,  Before Sunrise,8.8,458806,缘分是个连绵词，最美不过一瞬,"导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...<br/>
                            1995 / 美国 奥地利 瑞士 / 剧情 爱情",理查德·林克莱特 Richard Linklater   ,1995, 美国 奥地利 瑞士 , 剧情 爱情
https://movie.douban.com/subject/1306249/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2357915564.jpg,唐伯虎点秋香,  唐伯虎點秋香,8.6,784777,华太师是黄霑，吴镇宇四大才子之一,"导演: 李力持 Lik-Chi Lee   主演: 周星驰 Stephen Chow / 巩俐 Li Gong / 陈...<br/>
                            1993 / 中国香港 / 喜剧 爱情 古装",李力持 Lik-Chi Lee   ,1993, 中国香港 , 喜剧 爱情 古装
https://movie.douban.com/subject/1292434/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2567845803.jpg,一一, ,9,269986,我们都曾经是一一,"导演: 杨德昌 Edward Yang   主演: 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...<br/>
                            2000 / 中国台湾 日本 / 剧情 爱情 家庭",杨德昌 Edward Yang   ,2000, 中国台湾 日本 , 剧情 爱情 家庭
https://movie.douban.com/subject/3395373/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1706428744.jpg,蝙蝠侠：黑暗骑士崛起,  The Dark Knight Rises,8.8,546585,诺兰就是保证,"导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...<br/>
                            2012 / 美国 英国 / 剧情 动作 科幻 犯罪 惊悚",克里斯托弗·诺兰 Christopher Nolan   ,2012, 美国 英国 , 剧情 动作 科幻 犯罪 惊悚
https://movie.douban.com/subject/1293359/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2620392435.jpg,菊次郎的夏天,  菊次郎の夏,8.8,423264,从没见过那么流氓的温柔，从没见过那么温柔的流氓,"导演: 北野武 Takeshi Kitano   主演: 北野武 Takeshi Kitano / 关口雄介 Yus...<br/>
                            1999 / 日本 / 剧情 喜剧",北野武 Takeshi Kitano   ,1999, 日本 , 剧情 喜剧
https://movie.douban.com/subject/5322596/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1305562621.jpg,超脱,  Detachment,8.9,357562,穷尽一生，我们要学会的，不过是彼此拥抱,"导演: 托尼·凯耶 Tony Kaye   主演: 艾德里安·布洛迪 Adrien Brody / 马西...<br/>
                            2011 / 美国 / 剧情",托尼·凯耶 Tony Kaye   ,2011, 美国 , 剧情
https://movie.douban.com/subject/1297052/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p456692072.jpg,侧耳倾听,  耳をすませば,8.9,350231,少女情怀总是诗,"导演: 近藤喜文 Yoshifumi Kondo   主演: 本名阳子 Youko Honna / 小林桂树 K...<br/>
                            1995 / 日本 / 剧情 爱情 动画",近藤喜文 Yoshifumi Kondo   ,1995, 日本 , 剧情 爱情 动画
https://movie.douban.com/subject/1297447/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2414157745.jpg,倩女幽魂, ,8.7,552961,两张绝世的脸 ,"导演: 程小东 Siu-Tung Ching   主演: 张国荣 Leslie Cheung / 王祖贤 Joey W...<br/>
                            1987 / 中国香港 / 爱情 奇幻 武侠 古装",程小东 Siu-Tung Ching   ,1987, 中国香港 , 爱情 奇幻 武侠 古装
https://movie.douban.com/subject/1292337/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p661160053.jpg,无人知晓,  誰も知らない,9.1,213451,我的平常生活就是他人的幸福,"导演: 是枝裕和 Hirokazu Koreeda   主演: 柳乐优弥 Yûya Yagira / 北浦爱...<br/>
                            2004 / 日本 / 剧情",是枝裕和 Hirokazu Koreeda   ,2004, 日本 , 剧情
https://movie.douban.com/subject/11026735/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2614500883.jpg,超能陆战队,  Big Hero 6,8.7,759028,Balalala~~~,"导演: 唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams   主演: 斯科特...<br/>
                            2014 / 美国 / 喜剧 动作 科幻 动画 冒险",唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams   ,2014, 美国 , 喜剧 动作 科幻 动画 冒险
https://movie.douban.com/subject/3072124/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2162822165.jpg,玛丽和马克思,  Mary and Max,8.9,346947,你是我最好的朋友，你是我唯一的朋友 ,"导演: 亚当·艾略特 Adam Elliot   主演: 托妮·科莱特 Toni Collette / 菲利...<br/>
                            2009 / 澳大利亚 / 剧情 喜剧 动画",亚当·艾略特 Adam Elliot   ,2009, 澳大利亚 , 剧情 喜剧 动画
